S_ID,typeNP,region,c1,c2,c4,c5,c5.1,c6,c6.1,c7,c7.1_1,c7.1_2,c7.1_3,c7.1_4,c7.1_5,child,c13,c10,c10t,c8.1,c8.2,c8.3,c9.1,c9.2,c9.3,c10.1_1,c10.1_2,c10.1_3,c10.1_4,c10.1t,c10.2_1,c10.2_2,c10.2_3,c10.2_4,c10.2_5,c10.2_6,c10.2_7,c10.2_8,c10.2_9,c10.2_10,c10.2t,c11,c12,d1,d2,d3,d3t,d4,d5_1,d5_2,d5_3,d5_4,d5_5,d5_6,d5_7,d5_8,d5_9,MESSAGE,Link,q13,q8.1,q8.2,q8.3,q9.1,q9.2,q9.3,q11,q12
124715,1.00,3.00,8,14,2,30,2.00,1,1,1,1,0,0,0,0,1.00,2,1,,2,3,3,3,2,2,,,,,,,,,,,,,,,,,,2,6,2,5,,3,1,0,0,1,0,0,0,0,0,3,1,1,1,2,2,1,2,1,,1
124748,2.00,2.00,14,31,2,38,2.00,1,1,2,1,0,1,0,0,3.00,4,4,,3,3,4,2,3,3,,,,,,,,,,,,,,,,,3,,4,2,10,,2,1,0,0,0,0,0,0,0,0,3,1,3,2,6,3,2,6,6,3,
124822,1.00,3.00,8,12,2,35,2.00,1,1,1,1,0,0,0,0,1.00,1,4,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,1,,6,3,13,,3,1,0,0,1,1,1,0,0,0,3,3,1,1,2,1,1,2,1,1,
124876,1.00,3.00,24,56,2,33,2.00,1,1,2,0,0,1,0,1,5.00,1,1,,2,6,6,1,1,1,,,,,,,,,,,,,,,,,,1,6,2,5,,3,1,0,0,0,0,0,0,0,0,3,1,1,1,3,2,1,1,1,,1
125085,1.00,2.00,5,3,2,27,2.00,1,1,2,1,0,1,0,0,3.00,1,1,,1,2,1,1,1,1,,,,,,,,,,,,,,,,,,1,6,2,13,,3,1,1,0,0,1,0,1,0,0,3,3,1,1,3,2,2,1,1,,1
125136,3.00,1.00,21,50,2,33,2.00,1,1,1,0,1,0,0,0,2.00,2,2,,2,2,2,2,2,2,1,0,0,0,,,,,,,,,,,,,2,,6,2,4,,3,0,0,0,1,1,0,0,0,0,3,1,2,2,2,2,2,2,2,2,
125356,1.00,4.00,15,34,2,33,2.00,1,1,4,0,1,1,1,0,4.00,3,1,,2,3,2,1,1,2,,,,,,,,,,,,,,,,,,2,1,2,10,,2,1,0,1,1,1,1,1,0,0,3,3,3,3,3,3,3,3,3,,3
127217,1.00,3.00,24,56,2,31,2.00,1,1,3,1,1,0,0,0,2.00,1,1,,1,2,2,1,1,1,,,,,,,,,,,,,,,,,,1,6,2,4,,2,1,0,0,0,1,0,0,0,0,3,1,1,1,2,2,1,1,1,,1
118485,3.00,3.00,2,27,2,34,2.00,1,1,2,0,1,1,0,0,2.00,2,2,,3,3,2,2,2,2,1,0,0,0,,,,,,,,,,,,,2,,6,1,3,,4,1,1,1,1,1,0,1,0,0,2,1,2,2,2,2,2,2,2,2,
118516,1.00,3.00,4,1,2,53,3.00,1,1,1,0,0,0,0,1,5.00,1,1,,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,1,6,2,1,,4,1,0,0,0,1,1,0,0,0,2,1,1,1,3,2,1,3,2,,1
118543,1.00,1.00,7,64,2,31,2.00,1,1,1,1,0,0,0,0,1.00,1,4,,1,2,2,1,2,2,,,,,,,,,,,,,,,,,1,,6,2,13,,3,0,1,0,1,1,0,1,0,0,2,2,1,1,2,2,1,2,2,1,
118572,3.00,1.00,21,50,2,28,2.00,1,1,2,1,1,0,0,0,2.00,1,1,,1,3,2,1,1,3,,,,,,,,,,,,,,,,,,1,6,2,13,,3,1,1,1,1,1,1,0,0,0,2,1,1,1,3,3,1,2,3,,1
118604,2.00,1.00,6,5,2,30,2.00,1,1,1,0,0,1,0,0,3.00,1,1,,1,2,1,1,2,1,,,,,,,,,,,,,,,,,,1,4,2,6,,4,1,1,0,0,1,0,0,0,0,2,1,1,1,2,1,1,2,1,,1
